Game 2:

  Trial #  # of Hands  # of Pairs   # of Flushes     Pair Percentage    Flush Percentage
  -------  ----------  ----------   ------------     ---------------    ----------------
        1       10000        5013            112                0.50                0.01
        2       10000        4948            119                0.49                0.01
        3       10000        4897            142                0.49                0.01
        4       10000        4862            134                0.49                0.01
        5       10000        4979            123                0.50                0.01
        6       10000        4939            127                0.49                0.01
        7       10000        4965            130                0.50                0.01
        8       10000        4959            134                0.50                0.01
        9       10000        4943            117                0.49                0.01
       10       10000        4969            122                0.50                0.01
